iter	Passed	Remaining
0	462	230774
1	947	235894
2	1234	204499
3	1478	183383
4	1741	172417
5	1996	164345
6	2174	153151
7	2343	144133
8	2526	137848
9	2791	136792
10	3155	140291
11	3347	136143
12	3498	131058
13	3652	126790
14	3817	123443
15	3972	120159
16	4122	117136
17	4285	114766
18	4426	112067
19	4589	110156
20	4767	108739
21	4952	107598
22	5162	107068
23	5409	107278
24	5619	106772
25	5801	105764
26	5962	104448
27	6150	103681
28	6290	102164
29	6420	100586
30	6591	99724
31	6761	98890
32	6965	98576
33	7190	98558
34	7355	97725
35	7480	96412
36	7615	95294
37	7751	94238
38	7893	93304
39	8052	92608
40	8193	91726
41	8357	91133
42	8501	90357
43	8670	89859
44	8830	89288
45	9035	89174
46	9169	88380
47	9297	87547
48	9438	86871
49	9570	86138
50	9758	85909
51	9889	85201
52	10034	84627
53	10168	83984
54	10290	83257
55	10424	82649
56	10532	81854
57	10664	81269
58	10800	80731
59	10941	80239
60	11058	79587
61	11187	79033
62	11310	78454
63	11447	77986
64	11580	77501
65	11706	76982
66	11832	76469
67	11991	76178
68	12141	75839
69	12249	75247
70	12371	74752
71	12485	74220
72	12613	73781
73	12711	73179
74	12801	72539
75	12935	72167
76	13045	71665
77	13160	71201
78	13262	70679
79	13355	70116
80	13443	69540
81	13525	68949
82	13629	68475
83	13739	68044
84	13852	67634
85	13983	67315
86	14094	66909
87	14222	66589
88	14355	66295
89	14467	65906
90	14591	65580
91	14725	65304
92	14835	64927
93	14932	64494
94	15027	64066
95	15126	63659
96	15241	63324
97	15372	63058
98	15502	62793
99	15623	62492
100	15729	62141
101	15864	61904
102	15986	61617
103	16094	61282
104	16222	61027
105	16341	60742
106	16441	60387
107	16548	60065
108	16661	59768
109	16787	59518
110	16932	59341
111	17134	59359
112	17247	59069
113	17395	58899
114	17544	58734
115	17679	58524
116	17870	58499
117	18110	58628
118	18357	58774
119	18535	58695
120	18645	58401
121	18783	58197
122	18931	58024
123	19079	57854
124	19234	57702
125	19398	57579
126	19577	57500
127	19746	57389
128	19918	57284
129	20283	57730
130	20681	58256
131	21269	59297
132	21442	59168
133	21662	59168
134	21842	59054
135	22032	58969
136	22181	58774
137	22362	58661
138	22539	58536
139	22695	58361
140	22855	58192
141	22999	57983
142	23143	57777
143	23282	57559
144	23471	57465
145	23628	57290
146	23770	57082
147	23950	56962
148	24118	56816
149	24313	56732
150	24470	56556
151	24630	56390
152	24791	56227
153	24975	56113
154	25115	55901
155	25261	55704
156	25448	55597
157	25591	55394
158	25714	55147
159	25861	54955
160	26028	54804
161	26165	54591
162	26327	54432
163	26462	54216
164	26627	54062
165	26797	53918
166	26930	53699
167	27089	53534
168	27252	53376
169	27506	53395
170	27803	53493
171	28006	53408
172	28160	53228
173	28373	53160
174	28546	53014
175	28696	52827
176	28888	52717
177	29064	52578
178	29285	52517
179	29447	52351
180	29601	52170
181	29742	51967
182	29905	51803
183	30090	51677
184	30250	51508
185	30379	51285
186	30534	51108
187	30708	50963
188	30880	50813
189	31033	50633
190	31156	50405
191	31296	50205
192	31428	49992
193	31617	49870
194	31796	49732
195	31990	49617
196	32127	49414
197	32259	49204
198	32427	49048
199	32547	48821
200	32668	48596
201	32793	48378
202	32951	48209
203	33114	48049
204	33252	47850
205	33418	47694
206	33588	47543
207	33738	47364
208	33893	47191
209	34093	47081
210	34255	46918
211	34404	46738
212	34537	46537
213	34674	46340
214	34814	46149
215	34952	45955
216	35094	45768
217	35244	45591
218	35388	45407
219	35531	45221
220	35651	45008
221	35803	44834
222	35969	44679
